" ","2011","2017"
"Crimes","",""
"Violent Crimes","2,484","3,300"
"Homicide","34","41"
"Rape (Forcible Rape prior to 2014)","117","196"
"Rape","104","190"
"Attempted Rape","13","6"
"Robbery","702","905"
"Weapon","",""
"Firearm","255","291"
"Knife or Cutting Instrument","65","86"
"Other Weapon","49","84"
"Strong-Arm","333","444"
"Location","",""
"Highway","283","342"
"Commercial","169","275"
"Gas Station","30","25"
"Convenience Store","33","88"
"Residence","99","80"
"Bank","19","4"
"Miscellaneous","69","91"
"Aggravated Assault","1,631","2,158"
"Weapon","",""
"Firearm","243","247"
"Knife or Cutting Instrument","200","256"
"Other Weapon","426","735"
"Hands  Fists  Feet","762","920"
"Property Crimes","19,189","16,789"
"Burglary","5,346","2,774"
"Means of Entry","",""
"Forcible Entry","3,500","1,815"
"No Force","1,846","959"
"Location / Time","",""
"Residence","3,694","1,498"
"Night","938","413"
"Day","2,034","531"
"Unknown","722","554"
"Non-Residence","1,652","1,276"
"Night","660","595"
"Day","602","296"
"Unknown","390","385"
"Motor Vehicle Theft","3,221","3,234"
"Automotive","2,587","2,501"
"Trucks and Buses","429","499"
"Other","205","234"
"Larceny-Theft","10,622","10,781"
"Type","",""
"Pocket-Picking","21","12"
"Purse-Snatching","40","27"
"Shoplifting","2,284","2,501"
"From Motor Vehicle","2,963","3,419"
"Motor Vehicle Accessories","982","525"
"Bicycles","458","345"
"From Building","678","801"
"Coin Operated Machine","23","22"
"Other","3,173","3,129"
"Value","",""
"Over $400","3,006","3,304"
"Over $200","0","0"
"$200 through $400","1,433","1,365"
"$50 through $199","1,899","1,964"
"Under $50","4,284","4,148"
"Arson","157","127"
"Structural Property","67","35"
"Mobile Property","57","35"
"Other Property","33","57"
