" ","2011","2017"
"Crimes","",""
"Violent Crimes","331","396"
"Homicide","3","7"
"Rape (Forcible Rape prior to 2014)","34","46"
"Rape","32","41"
"Attempted Rape","2","5"
"Robbery","44","53"
"Weapon","",""
"Firearm","12","11"
"Knife or Cutting Instrument","3","9"
"Other Weapon","1","6"
"Strong-Arm","28","27"
"Location","",""
"Highway","9","19"
"Commercial","2","4"
"Gas Station","0","0"
"Convenience Store","0","2"
"Residence","25","16"
"Bank","0","0"
"Miscellaneous","8","12"
"Aggravated Assault","250","290"
"Weapon","",""
"Firearm","18","32"
"Knife or Cutting Instrument","29","37"
"Other Weapon","70","85"
"Hands  Fists  Feet","133","136"
"Property Crimes","1,736","1,628"
"Burglary","621","557"
"Means of Entry","",""
"Forcible Entry","258","253"
"No Force","363","304"
"Location / Time","",""
"Residence","383","338"
"Night","97","71"
"Day","173","150"
"Unknown","113","117"
"Non-Residence","238","219"
"Night","94","76"
"Day","107","89"
"Unknown","37","54"
"Motor Vehicle Theft","153","330"
"Automotive","105","182"
"Trucks and Buses","15","76"
"Other","33","72"
"Larceny-Theft","962","741"
"Type","",""
"Pocket-Picking","1","8"
"Purse-Snatching","7","8"
"Shoplifting","111","109"
"From Motor Vehicle","206","101"
"Motor Vehicle Accessories","30","53"
"Bicycles","26","10"
"From Building","254","108"
"Coin Operated Machine","0","3"
"Other","327","341"
"Value","",""
"Over $400","273","255"
"Over $200","0","0"
"$200 through $400","170","106"
"$50 through $199","195","108"
"Under $50","324","272"
"Arson","25","31"
"Structural Property","22","31"
"Mobile Property","3","0"
"Other Property","0","0"
