" ","2011","2017"
"Crimes","",""
"Violent Crimes","8,551","10,217"
"Homicide","106","128"
"Rape (Forcible Rape prior to 2014)","449","846"
"Rape","401","803"
"Attempted Rape","48","43"
"Robbery","2,822","2,982"
"Weapon","",""
"Firearm","882","902"
"Knife or Cutting Instrument","244","275"
"Other Weapon","196","303"
"Strong-Arm","1,500","1,502"
"Location","",""
"Highway","944","805"
"Commercial","619","780"
"Gas Station","76","107"
"Convenience Store","179","288"
"Residence","336","328"
"Bank","47","18"
"Miscellaneous","621","656"
"Aggravated Assault","5,174","6,261"
"Weapon","",""
"Firearm","712","1,085"
"Knife or Cutting Instrument","981","1,047"
"Other Weapon","1,799","2,462"
"Hands  Fists  Feet","1,682","1,667"
"Property Crimes","57,234","52,007"
"Burglary","16,439","11,711"
"Means of Entry","",""
"Forcible Entry","11,854","8,405"
"No Force","4,585","3,306"
"Location / Time","",""
"Residence","10,813","6,680"
"Night","2,052","1,407"
"Day","4,372","2,543"
"Unknown","4,389","2,730"
"Non-Residence","5,626","5,031"
"Night","1,836","1,969"
"Day","2,103","1,105"
"Unknown","1,687","1,957"
"Motor Vehicle Theft","8,913","10,308"
"Automotive","6,454","7,790"
"Trucks and Buses","1,464","1,793"
"Other","995","725"
"Larceny-Theft","31,882","29,988"
"Type","",""
"Pocket-Picking","123","119"
"Purse-Snatching","155","75"
"Shoplifting","5,907","5,502"
"From Motor Vehicle","11,014","10,726"
"Motor Vehicle Accessories","2,335","2,829"
"Bicycles","684","456"
"From Building","3,066","2,566"
"Coin Operated Machine","63","40"
"Other","8,535","7,675"
"Value","",""
"Over $400","11,460","11,019"
"Over $200","0","0"
"$200 through $400","4,360","4,239"
"$50 through $199","5,846","5,069"
"Under $50","10,216","9,661"
"Arson","415","410"
"Structural Property","186","170"
"Mobile Property","118","118"
"Other Property","111","122"
