" ","2011","2017"
"Crimes","",""
"Violent Crimes","10,785","9,923"
"Homicide","133","90"
"Rape (Forcible Rape prior to 2014)","413","810"
"Rape","355","768"
"Attempted Rape","58","42"
"Robbery","5,244","4,817"
"Weapon","",""
"Firearm","2,659","1,783"
"Knife or Cutting Instrument","230","309"
"Other Weapon","279","329"
"Strong-Arm","2,076","2,396"
"Location","",""
"Highway","3,132","2,501"
"Commercial","402","453"
"Gas Station","120","109"
"Convenience Store","189","261"
"Residence","476","297"
"Bank","52","38"
"Miscellaneous","873","1,158"
"Aggravated Assault","4,995","4,206"
"Weapon","",""
"Firearm","1,680","853"
"Knife or Cutting Instrument","278","462"
"Other Weapon","2,145","2,193"
"Hands  Fists  Feet","892","698"
"Property Crimes","52,659","63,861"
"Burglary","11,998","6,915"
"Means of Entry","",""
"Forcible Entry","8,694","4,935"
"No Force","3,304","1,980"
"Location / Time","",""
"Residence","8,520","3,846"
"Night","1,644","957"
"Day","4,828","1,859"
"Unknown","2,048","1,030"
"Non-Residence","3,478","3,069"
"Night","1,421","1,275"
"Day","1,087","845"
"Unknown","970","949"
"Motor Vehicle Theft","11,044","12,606"
"Automotive","10,275","11,174"
"Trucks and Buses","499","992"
"Other","270","440"
"Larceny-Theft","29,617","44,340"
"Type","",""
"Pocket-Picking","308","852"
"Purse-Snatching","463","396"
"Shoplifting","3,865","3,650"
"From Motor Vehicle","9,172","21,861"
"Motor Vehicle Accessories","4,814","3,698"
"Bicycles","2,056","2,032"
"From Building","2,143","1,926"
"Coin Operated Machine","54","39"
"Other","6,742","9,886"
"Value","",""
"Over $400","9,984","20,405"
"Over $200","0","0"
"$200 through $400","4,658","4,882"
"$50 through $199","5,197","6,017"
"Under $50","9,778","13,036"
"Arson","293","439"
"Structural Property","113","207"
"Mobile Property","139","162"
"Other Property","41","70"
