" ","2011","2017"
"Crimes","",""
"Violent Crimes","1,951","1,802"
"Homicide","34","43"
"Rape (Forcible Rape prior to 2014)","94","168"
"Rape","89","159"
"Attempted Rape","5","9"
"Robbery","572","547"
"Weapon","",""
"Firearm","207","237"
"Knife or Cutting Instrument","70","56"
"Other Weapon","32","24"
"Strong-Arm","263","230"
"Location","",""
"Highway","287","246"
"Commercial","99","94"
"Gas Station","14","19"
"Convenience Store","42","74"
"Residence","37","31"
"Bank","16","1"
"Miscellaneous","77","82"
"Aggravated Assault","1,251","1,044"
"Weapon","",""
"Firearm","136","246"
"Knife or Cutting Instrument","157","150"
"Other Weapon","300","275"
"Hands  Fists  Feet","658","373"
"Property Crimes","9,893","10,043"
"Burglary","2,650","1,937"
"Means of Entry","",""
"Forcible Entry","1,455","1,208"
"No Force","1,195","729"
"Location / Time","",""
"Residence","1,891","1,026"
"Night","347","226"
"Day","1,130","540"
"Unknown","414","260"
"Non-Residence","759","911"
"Night","328","449"
"Day","264","273"
"Unknown","167","189"
"Motor Vehicle Theft","1,670","2,080"
"Automotive","1,462","1,519"
"Trucks and Buses","138","412"
"Other","70","149"
"Larceny-Theft","5,573","6,026"
"Type","",""
"Pocket-Picking","15","28"
"Purse-Snatching","29","20"
"Shoplifting","1,199","805"
"From Motor Vehicle","1,719","2,502"
"Motor Vehicle Accessories","586","764"
"Bicycles","225","310"
"From Building","554","455"
"Coin Operated Machine","15","35"
"Other","1,231","1,107"
"Value","",""
"Over $400","1,849","2,312"
"Over $200","0","0"
"$200 through $400","872","785"
"$50 through $199","1,192","1,058"
"Under $50","1,660","1,871"
"Arson","85","58"
"Structural Property","29","27"
"Mobile Property","34","17"
"Other Property","22","14"
