" ","2011","2017"
"Crimes","",""
"Violent Crimes","68","128"
"Homicide","1","0"
"Rape (Forcible Rape prior to 2014)","8","16"
"Rape","8","16"
"Attempted Rape","0","0"
"Robbery","4","11"
"Weapon","",""
"Firearm","0","1"
"Knife or Cutting Instrument","0","0"
"Other Weapon","0","0"
"Strong-Arm","4","10"
"Location","",""
"Highway","2","3"
"Commercial","0","1"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","1","7"
"Bank","0","0"
"Miscellaneous","1","0"
"Aggravated Assault","55","101"
"Weapon","",""
"Firearm","0","7"
"Knife or Cutting Instrument","4","15"
"Other Weapon","10","25"
"Hands  Fists  Feet","41","54"
"Property Crimes","267","514"
"Burglary","84","131"
"Means of Entry","",""
"Forcible Entry","18","58"
"No Force","66","73"
"Location / Time","",""
"Residence","34","65"
"Night","9","12"
"Day","15","37"
"Unknown","10","16"
"Non-Residence","50","66"
"Night","19","27"
"Day","27","30"
"Unknown","4","9"
"Motor Vehicle Theft","14","56"
"Automotive","9","42"
"Trucks and Buses","1","4"
"Other","4","10"
"Larceny-Theft","169","327"
"Type","",""
"Pocket-Picking","1","3"
"Purse-Snatching","2","3"
"Shoplifting","10","57"
"From Motor Vehicle","33","41"
"Motor Vehicle Accessories","6","10"
"Bicycles","17","50"
"From Building","46","61"
"Coin Operated Machine","1","2"
"Other","53","100"
"Value","",""
"Over $400","61","102"
"Over $200","0","0"
"$200 through $400","28","62"
"$50 through $199","38","67"
"Under $50","42","96"
"Arson","5","3"
"Structural Property","0","2"
"Mobile Property","0","1"
"Other Property","5","0"
