" ","2011","2017"
"Crimes","",""
"Violent Crimes","1,905","1,645"
"Homicide","39","33"
"Rape (Forcible Rape prior to 2014)","97","162"
"Rape","89","149"
"Attempted Rape","8","13"
"Robbery","324","382"
"Weapon","",""
"Firearm","85","133"
"Knife or Cutting Instrument","45","44"
"Other Weapon","28","44"
"Strong-Arm","166","161"
"Location","",""
"Highway","150","109"
"Commercial","26","56"
"Gas Station","16","30"
"Convenience Store","14","36"
"Residence","30","42"
"Bank","2","2"
"Miscellaneous","86","107"
"Aggravated Assault","1,445","1,068"
"Weapon","",""
"Firearm","307","167"
"Knife or Cutting Instrument","235","188"
"Other Weapon","439","337"
"Hands  Fists  Feet","464","376"
"Property Crimes","15,248","11,722"
"Burglary","3,977","2,359"
"Means of Entry","",""
"Forcible Entry","2,974","1,801"
"No Force","1,003","558"
"Location / Time","",""
"Residence","2,745","1,308"
"Night","870","316"
"Day","1,404","435"
"Unknown","471","557"
"Non-Residence","1,232","1,051"
"Night","542","373"
"Day","421","270"
"Unknown","269","408"
"Motor Vehicle Theft","1,903","2,211"
"Automotive","1,264","1,397"
"Trucks and Buses","433","605"
"Other","206","209"
"Larceny-Theft","9,368","7,152"
"Type","",""
"Pocket-Picking","253","19"
"Purse-Snatching","41","34"
"Shoplifting","1,313","1,419"
"From Motor Vehicle","3,037","2,092"
"Motor Vehicle Accessories","840","752"
"Bicycles","444","320"
"From Building","913","694"
"Coin Operated Machine","61","30"
"Other","2,466","1,792"
"Value","",""
"Over $400","3,230","2,807"
"Over $200","0","0"
"$200 through $400","1,452","615"
"$50 through $199","2,321","1,483"
"Under $50","2,365","2,247"
"Arson","67","72"
"Structural Property","14","24"
"Mobile Property","9","25"
"Other Property","44","23"
