" ","2011","2017"
"Crimes","",""
"Violent Crimes","541","463"
"Homicide","2","4"
"Rape (Forcible Rape prior to 2014)","48","46"
"Rape","42","43"
"Attempted Rape","6","3"
"Robbery","131","149"
"Weapon","",""
"Firearm","25","22"
"Knife or Cutting Instrument","26","13"
"Other Weapon","10","14"
"Strong-Arm","70","100"
"Location","",""
"Highway","51","53"
"Commercial","19","31"
"Gas Station","3","5"
"Convenience Store","0","4"
"Residence","11","11"
"Bank","6","4"
"Miscellaneous","41","41"
"Aggravated Assault","360","264"
"Weapon","",""
"Firearm","17","12"
"Knife or Cutting Instrument","67","45"
"Other Weapon","132","113"
"Hands  Fists  Feet","144","94"
"Property Crimes","4,677","5,006"
"Burglary","1,179","941"
"Means of Entry","",""
"Forcible Entry","470","469"
"No Force","709","472"
"Location / Time","",""
"Residence","681","414"
"Night","122","86"
"Day","356","220"
"Unknown","203","108"
"Non-Residence","498","527"
"Night","168","210"
"Day","193","239"
"Unknown","137","78"
"Motor Vehicle Theft","349","475"
"Automotive","268","313"
"Trucks and Buses","52","136"
"Other","29","26"
"Larceny-Theft","3,149","3,590"
"Type","",""
"Pocket-Picking","19","20"
"Purse-Snatching","22","41"
"Shoplifting","381","502"
"From Motor Vehicle","1,048","1,485"
"Motor Vehicle Accessories","195","154"
"Bicycles","322","310"
"From Building","492","412"
"Coin Operated Machine","11","9"
"Other","659","657"
"Value","",""
"Over $400","1,297","1,632"
"Over $200","0","0"
"$200 through $400","516","479"
"$50 through $199","482","539"
"Under $50","854","940"
"Arson","31","27"
"Structural Property","15","16"
"Mobile Property","1","0"
"Other Property","15","11"
