" ","2011","2017"
"Crimes","",""
"Violent Crimes","341","325"
"Homicide","4","3"
"Rape (Forcible Rape prior to 2014)","24","23"
"Rape","24","22"
"Attempted Rape","0","1"
"Robbery","40","59"
"Weapon","",""
"Firearm","10","14"
"Knife or Cutting Instrument","7","2"
"Other Weapon","5","7"
"Strong-Arm","18","36"
"Location","",""
"Highway","5","12"
"Commercial","8","12"
"Gas Station","0","5"
"Convenience Store","3","4"
"Residence","18","10"
"Bank","0","1"
"Miscellaneous","6","15"
"Aggravated Assault","273","240"
"Weapon","",""
"Firearm","30","32"
"Knife or Cutting Instrument","37","32"
"Other Weapon","124","107"
"Hands  Fists  Feet","82","69"
"Property Crimes","2,013","2,072"
"Burglary","629","550"
"Means of Entry","",""
"Forcible Entry","355","377"
"No Force","274","173"
"Location / Time","",""
"Residence","403","371"
"Night","59","50"
"Day","133","98"
"Unknown","211","223"
"Non-Residence","226","179"
"Night","78","73"
"Day","70","28"
"Unknown","78","78"
"Motor Vehicle Theft","248","490"
"Automotive","194","344"
"Trucks and Buses","16","97"
"Other","38","49"
"Larceny-Theft","1,136","1,032"
"Type","",""
"Pocket-Picking","6","2"
"Purse-Snatching","10","9"
"Shoplifting","157","153"
"From Motor Vehicle","368","309"
"Motor Vehicle Accessories","84","59"
"Bicycles","39","38"
"From Building","111","103"
"Coin Operated Machine","2","7"
"Other","359","352"
"Value","",""
"Over $400","393","388"
"Over $200","0","0"
"$200 through $400","199","159"
"$50 through $199","263","214"
"Under $50","281","271"
"Arson","12","31"
"Structural Property","6","12"
"Mobile Property","3","10"
"Other Property","3","9"
