" ","2011","2017"
"Crimes","",""
"Violent Crimes","46,116","59,924"
"Homicide","569","580"
"Rape (Forcible Rape prior to 2014)","1,904","4,302"
"Rape","1,690","4,060"
"Attempted Rape","214","242"
"Robbery","19,905","21,089"
"Weapon","",""
"Firearm","5,283","5,457"
"Knife or Cutting Instrument","1,828","1,937"
"Other Weapon","1,686","2,439"
"Strong-Arm","11,108","11,256"
"Location","",""
"Highway","10,983","10,502"
"Commercial","2,954","4,561"
"Gas Station","245","384"
"Convenience Store","427","788"
"Residence","1,248","1,198"
"Bank","148","174"
"Miscellaneous","3,900","3,482"
"Aggravated Assault","23,738","33,953"
"Weapon","",""
"Firearm","5,994","7,415"
"Knife or Cutting Instrument","4,498","6,570"
"Other Weapon","7,056","10,494"
"Hands  Fists  Feet","6,190","9,474"
"Property Crimes","228,174","248,714"
"Burglary","49,336","46,972"
"Means of Entry","",""
"Forcible Entry","33,911","34,817"
"No Force","15,425","12,155"
"Location / Time","",""
"Residence","33,678","26,540"
"Night","7,151","6,982"
"Day","18,589","11,449"
"Unknown","7,938","8,109"
"Non-Residence","15,658","20,432"
"Night","5,030","9,205"
"Day","5,603","4,856"
"Unknown","5,025","6,371"
"Motor Vehicle Theft","40,482","47,406"
"Automotive","30,007","32,917"
"Trucks and Buses","8,263","11,810"
"Other","2,212","2,679"
"Larceny-Theft","138,356","154,336"
"Type","",""
"Pocket-Picking","347","817"
"Purse-Snatching","612","606"
"Shoplifting","20,684","22,037"
"From Motor Vehicle","52,720","55,252"
"Motor Vehicle Accessories","9,161","19,903"
"Bicycles","5,457","5,962"
"From Building","24,717","24,165"
"Coin Operated Machine","207","410"
"Other","24,451","25,184"
"Value","",""
"Over $400","58,788","66,896"
"Over $200","0","0"
"$200 through $400","22,176","21,733"
"$50 through $199","26,705","25,694"
"Under $50","30,687","40,013"
"Arson","2,289","2,529"
"Structural Property","493","602"
"Mobile Property","685","545"
"Other Property","1,111","1,382"
