" ","2011","2017"
"Crimes","",""
"Violent Crimes","65","117"
"Homicide","2","1"
"Rape (Forcible Rape prior to 2014)","3","9"
"Rape","3","9"
"Attempted Rape","0","0"
"Robbery","9","8"
"Weapon","",""
"Firearm","1","0"
"Knife or Cutting Instrument","1","0"
"Other Weapon","1","0"
"Strong-Arm","6","8"
"Location","",""
"Highway","4","1"
"Commercial","0","0"
"Gas Station","0","0"
"Convenience Store","2","2"
"Residence","2","5"
"Bank","0","0"
"Miscellaneous","1","0"
"Aggravated Assault","51","99"
"Weapon","",""
"Firearm","0","4"
"Knife or Cutting Instrument","10","7"
"Other Weapon","20","5"
"Hands  Fists  Feet","21","83"
"Property Crimes","642","503"
"Burglary","172","151"
"Means of Entry","",""
"Forcible Entry","59","132"
"No Force","113","19"
"Location / Time","",""
"Residence","93","79"
"Night","22","16"
"Day","30","56"
"Unknown","41","7"
"Non-Residence","79","72"
"Night","38","33"
"Day","15","33"
"Unknown","26","6"
"Motor Vehicle Theft","93","90"
"Automotive","62","44"
"Trucks and Buses","13","18"
"Other","18","28"
"Larceny-Theft","377","262"
"Type","",""
"Pocket-Picking","0","0"
"Purse-Snatching","2","0"
"Shoplifting","15","27"
"From Motor Vehicle","73","30"
"Motor Vehicle Accessories","34","7"
"Bicycles","59","8"
"From Building","86","10"
"Coin Operated Machine","0","0"
"Other","108","180"
"Value","",""
"Over $400","120","95"
"Over $200","0","0"
"$200 through $400","86","26"
"$50 through $199","107","59"
"Under $50","64","82"
"Arson","5","5"
"Structural Property","2","3"
"Mobile Property","3","0"
"Other Property","0","2"
