" ","2011","2017"
"Crimes","",""
"Violent Crimes","348","274"
"Homicide","2","8"
"Rape (Forcible Rape prior to 2014)","12","52"
"Rape","12","49"
"Attempted Rape","0","3"
"Robbery","36","46"
"Weapon","",""
"Firearm","7","9"
"Knife or Cutting Instrument","2","4"
"Other Weapon","10","6"
"Strong-Arm","17","27"
"Location","",""
"Highway","2","8"
"Commercial","2","8"
"Gas Station","1","1"
"Convenience Store","4","2"
"Residence","8","10"
"Bank","0","0"
"Miscellaneous","19","17"
"Aggravated Assault","298","168"
"Weapon","",""
"Firearm","6","21"
"Knife or Cutting Instrument","29","24"
"Other Weapon","212","23"
"Hands  Fists  Feet","51","100"
"Property Crimes","1,453","1,823"
"Burglary","417","447"
"Means of Entry","",""
"Forcible Entry","133","219"
"No Force","284","228"
"Location / Time","",""
"Residence","237","256"
"Night","27","62"
"Day","18","135"
"Unknown","192","59"
"Non-Residence","180","191"
"Night","8","70"
"Day","5","84"
"Unknown","167","37"
"Motor Vehicle Theft","102","256"
"Automotive","54","144"
"Trucks and Buses","29","70"
"Other","19","42"
"Larceny-Theft","934","1,120"
"Type","",""
"Pocket-Picking","2","3"
"Purse-Snatching","6","8"
"Shoplifting","95","172"
"From Motor Vehicle","261","240"
"Motor Vehicle Accessories","24","60"
"Bicycles","63","28"
"From Building","188","310"
"Coin Operated Machine","2","2"
"Other","293","297"
"Value","",""
"Over $400","241","262"
"Over $200","0","0"
"$200 through $400","165","159"
"$50 through $199","207","308"
"Under $50","321","391"
"Arson","10","12"
"Structural Property","4","8"
"Mobile Property","0","0"
"Other Property","6","4"
