" ","2011","2017"
"Crimes","",""
"Violent Crimes","483","480"
"Homicide","7","4"
"Rape (Forcible Rape prior to 2014)","19","51"
"Rape","15","43"
"Attempted Rape","4","8"
"Robbery","52","49"
"Weapon","",""
"Firearm","12","18"
"Knife or Cutting Instrument","2","0"
"Other Weapon","6","2"
"Strong-Arm","32","29"
"Location","",""
"Highway","7","16"
"Commercial","6","9"
"Gas Station","1","2"
"Convenience Store","2","2"
"Residence","19","10"
"Bank","3","1"
"Miscellaneous","14","9"
"Aggravated Assault","405","376"
"Weapon","",""
"Firearm","7","14"
"Knife or Cutting Instrument","43","19"
"Other Weapon","81","101"
"Hands  Fists  Feet","274","242"
"Property Crimes","1,515","1,274"
"Burglary","506","315"
"Means of Entry","",""
"Forcible Entry","235","178"
"No Force","271","137"
"Location / Time","",""
"Residence","194","134"
"Night","33","41"
"Day","57","40"
"Unknown","104","53"
"Non-Residence","312","181"
"Night","111","84"
"Day","99","33"
"Unknown","102","64"
"Motor Vehicle Theft","146","210"
"Automotive","113","180"
"Trucks and Buses","15","14"
"Other","18","16"
"Larceny-Theft","863","749"
"Type","",""
"Pocket-Picking","1","1"
"Purse-Snatching","13","3"
"Shoplifting","216","234"
"From Motor Vehicle","99","108"
"Motor Vehicle Accessories","24","50"
"Bicycles","42","60"
"From Building","98","63"
"Coin Operated Machine","3","15"
"Other","367","215"
"Value","",""
"Over $400","231","233"
"Over $200","0","0"
"$200 through $400","125","114"
"$50 through $199","183","168"
"Under $50","324","234"
"Arson","19","26"
"Structural Property","12","12"
"Mobile Property","3","2"
"Other Property","4","12"
