" ","2011","2017"
"Crimes","",""
"Violent Crimes","5,465","6,410"
"Homicide","50","56"
"Rape (Forcible Rape prior to 2014)","134","373"
"Rape","117","319"
"Attempted Rape","17","54"
"Robbery","3,142","3,281"
"Weapon","",""
"Firearm","621","582"
"Knife or Cutting Instrument","255","317"
"Other Weapon","211","317"
"Strong-Arm","2,055","2,065"
"Location","",""
"Highway","1,794","862"
"Commercial","110","187"
"Gas Station","10","8"
"Convenience Store","91","251"
"Residence","59","51"
"Bank","32","26"
"Miscellaneous","1,046","1,896"
"Aggravated Assault","2,139","2,700"
"Weapon","",""
"Firearm","227","296"
"Knife or Cutting Instrument","347","331"
"Other Weapon","905","1,203"
"Hands  Fists  Feet","660","870"
"Property Crimes","33,779","55,253"
"Burglary","4,469","4,993"
"Means of Entry","",""
"Forcible Entry","2,105","2,499"
"No Force","2,364","2,494"
"Location / Time","",""
"Residence","2,172","2,019"
"Night","764","811"
"Day","1,368","1,206"
"Unknown","40","2"
"Non-Residence","2,297","2,974"
"Night","1,218","1,870"
"Day","981","1,088"
"Unknown","98","16"
"Motor Vehicle Theft","4,210","4,875"
"Automotive","3,104","3,803"
"Trucks and Buses","757","422"
"Other","349","650"
"Larceny-Theft","25,100","45,385"
"Type","",""
"Pocket-Picking","764","841"
"Purse-Snatching","72","46"
"Shoplifting","2,169","2,208"
"From Motor Vehicle","10,327","29,851"
"Motor Vehicle Accessories","182","93"
"Bicycles","711","790"
"From Building","3,314","2,876"
"Coin Operated Machine","24","8"
"Other","7,537","8,672"
"Value","",""
"Over $400","1,602","21,382"
"Over $200","0","0"
"$200 through $400","430","3,387"
"$50 through $199","226","3,213"
"Under $50","22,842","17,403"
"Arson","163","303"
"Structural Property","63","74"
"Mobile Property","63","95"
"Other Property","37","134"
