" ","2011","2017"
"Crimes","",""
"Violent Crimes","120","270"
"Homicide","1","1"
"Rape (Forcible Rape prior to 2014)","9","15"
"Rape","9","15"
"Attempted Rape","0","0"
"Robbery","10","13"
"Weapon","",""
"Firearm","2","5"
"Knife or Cutting Instrument","0","1"
"Other Weapon","0","2"
"Strong-Arm","8","5"
"Location","",""
"Highway","0","0"
"Commercial","0","0"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","5","5"
"Bank","0","0"
"Miscellaneous","5","8"
"Aggravated Assault","100","241"
"Weapon","",""
"Firearm","11","7"
"Knife or Cutting Instrument","11","15"
"Other Weapon","54","81"
"Hands  Fists  Feet","24","138"
"Property Crimes","478","598"
"Burglary","165","209"
"Means of Entry","",""
"Forcible Entry","66","121"
"No Force","99","88"
"Location / Time","",""
"Residence","77","125"
"Night","7","7"
"Day","8","15"
"Unknown","62","103"
"Non-Residence","88","84"
"Night","4","6"
"Day","9","5"
"Unknown","75","73"
"Motor Vehicle Theft","19","63"
"Automotive","12","47"
"Trucks and Buses","3","6"
"Other","4","10"
"Larceny-Theft","294","326"
"Type","",""
"Pocket-Picking","0","0"
"Purse-Snatching","4","1"
"Shoplifting","20","43"
"From Motor Vehicle","105","84"
"Motor Vehicle Accessories","9","13"
"Bicycles","20","11"
"From Building","58","63"
"Coin Operated Machine","1","2"
"Other","77","109"
"Value","",""
"Over $400","87","90"
"Over $200","0","0"
"$200 through $400","53","49"
"$50 through $199","62","79"
"Under $50","92","108"
"Arson","5","10"
"Structural Property","0","6"
"Mobile Property","2","0"
"Other Property","3","4"
