" ","2011","2017"
"Crimes","",""
"Violent Crimes","196","183"
"Homicide","5","2"
"Rape (Forcible Rape prior to 2014)","16","28"
"Rape","16","25"
"Attempted Rape","0","3"
"Robbery","28","39"
"Weapon","",""
"Firearm","5","15"
"Knife or Cutting Instrument","2","1"
"Other Weapon","1","4"
"Strong-Arm","20","19"
"Location","",""
"Highway","7","9"
"Commercial","0","6"
"Gas Station","0","0"
"Convenience Store","7","13"
"Residence","6","1"
"Bank","1","0"
"Miscellaneous","7","10"
"Aggravated Assault","147","114"
"Weapon","",""
"Firearm","13","5"
"Knife or Cutting Instrument","19","16"
"Other Weapon","31","33"
"Hands  Fists  Feet","84","60"
"Property Crimes","915","556"
"Burglary","345","121"
"Means of Entry","",""
"Forcible Entry","217","74"
"No Force","128","47"
"Location / Time","",""
"Residence","155","66"
"Night","29","17"
"Day","76","31"
"Unknown","50","18"
"Non-Residence","190","55"
"Night","123","30"
"Day","22","13"
"Unknown","45","12"
"Motor Vehicle Theft","111","101"
"Automotive","74","64"
"Trucks and Buses","14","17"
"Other","23","20"
"Larceny-Theft","459","334"
"Type","",""
"Pocket-Picking","2","3"
"Purse-Snatching","3","0"
"Shoplifting","66","83"
"From Motor Vehicle","171","95"
"Motor Vehicle Accessories","28","33"
"Bicycles","9","8"
"From Building","43","28"
"Coin Operated Machine","0","0"
"Other","137","84"
"Value","",""
"Over $400","180","124"
"Over $200","0","0"
"$200 through $400","81","40"
"$50 through $199","73","76"
"Under $50","125","94"
"Arson","13","6"
"Structural Property","1","4"
"Mobile Property","0","0"
"Other Property","12","2"
