" ","2011","2017"
"Crimes","",""
"Violent Crimes","452","597"
"Homicide","3","1"
"Rape (Forcible Rape prior to 2014)","34","60"
"Rape","32","60"
"Attempted Rape","2","0"
"Robbery","69","61"
"Weapon","",""
"Firearm","15","12"
"Knife or Cutting Instrument","6","4"
"Other Weapon","6","7"
"Strong-Arm","42","38"
"Location","",""
"Highway","24","13"
"Commercial","14","19"
"Gas Station","0","4"
"Convenience Store","4","5"
"Residence","7","5"
"Bank","5","2"
"Miscellaneous","15","13"
"Aggravated Assault","346","475"
"Weapon","",""
"Firearm","14","27"
"Knife or Cutting Instrument","37","40"
"Other Weapon","87","111"
"Hands  Fists  Feet","208","297"
"Property Crimes","2,799","2,225"
"Burglary","631","560"
"Means of Entry","",""
"Forcible Entry","199","114"
"No Force","432","446"
"Location / Time","",""
"Residence","355","201"
"Night","90","35"
"Day","188","108"
"Unknown","77","58"
"Non-Residence","276","359"
"Night","59","104"
"Day","117","194"
"Unknown","100","61"
"Motor Vehicle Theft","249","281"
"Automotive","143","162"
"Trucks and Buses","78","100"
"Other","28","19"
"Larceny-Theft","1,919","1,384"
"Type","",""
"Pocket-Picking","28","4"
"Purse-Snatching","11","16"
"Shoplifting","444","171"
"From Motor Vehicle","515","426"
"Motor Vehicle Accessories","96","73"
"Bicycles","94","107"
"From Building","178","122"
"Coin Operated Machine","4","4"
"Other","549","461"
"Value","",""
"Over $400","605","551"
"Over $200","0","0"
"$200 through $400","319","215"
"$50 through $199","362","265"
"Under $50","633","353"
"Arson","15","6"
"Structural Property","5","2"
"Mobile Property","5","1"
"Other Property","5","3"
