" ","2011","2017"
"Crimes","",""
"Violent Crimes","4,564","5,995"
"Homicide","56","46"
"Rape (Forcible Rape prior to 2014)","352","799"
"Rape","306","780"
"Attempted Rape","46","19"
"Robbery","1,586","1,892"
"Weapon","",""
"Firearm","396","504"
"Knife or Cutting Instrument","186","229"
"Other Weapon","157","173"
"Strong-Arm","847","986"
"Location","",""
"Highway","419","752"
"Commercial","466","482"
"Gas Station","32","53"
"Convenience Store","121","171"
"Residence","205","131"
"Bank","60","22"
"Miscellaneous","283","281"
"Aggravated Assault","2,570","3,258"
"Weapon","",""
"Firearm","333","596"
"Knife or Cutting Instrument","695","656"
"Other Weapon","984","1,305"
"Hands  Fists  Feet","558","701"
"Property Crimes","38,970","44,954"
"Burglary","7,229","6,851"
"Means of Entry","",""
"Forcible Entry","4,957","4,853"
"No Force","2,272","1,998"
"Location / Time","",""
"Residence","4,853","3,859"
"Night","805","669"
"Day","2,535","1,817"
"Unknown","1,513","1,373"
"Non-Residence","2,376","2,992"
"Night","878","1,234"
"Day","521","488"
"Unknown","977","1,270"
"Motor Vehicle Theft","6,770","10,330"
"Automotive","5,406","7,422"
"Trucks and Buses","1,026","2,391"
"Other","338","517"
"Larceny-Theft","24,971","27,773"
"Type","",""
"Pocket-Picking","73","157"
"Purse-Snatching","116","175"
"Shoplifting","4,689","3,807"
"From Motor Vehicle","8,608","12,664"
"Motor Vehicle Accessories","2,803","2,097"
"Bicycles","2,321","2,493"
"From Building","3,253","1,734"
"Coin Operated Machine","77","33"
"Other","3,031","4,613"
"Value","",""
"Over $400","8,967","13,857"
"Over $200","0","0"
"$200 through $400","3,826","3,718"
"$50 through $199","4,814","4,154"
"Under $50","7,364","6,044"
"Arson","284","266"
"Structural Property","125","117"
"Mobile Property","52","43"
"Other Property","107","106"
