" ","2011","2017"
"Crimes","",""
"Violent Crimes","42","58"
"Homicide","0","2"
"Rape (Forcible Rape prior to 2014)","10","2"
"Rape","10","2"
"Attempted Rape","0","0"
"Robbery","3","3"
"Weapon","",""
"Firearm","0","1"
"Knife or Cutting Instrument","1","0"
"Other Weapon","0","0"
"Strong-Arm","2","2"
"Location","",""
"Highway","0","0"
"Commercial","0","0"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","0","2"
"Bank","0","0"
"Miscellaneous","3","1"
"Aggravated Assault","29","51"
"Weapon","",""
"Firearm","2","0"
"Knife or Cutting Instrument","6","5"
"Other Weapon","10","30"
"Hands  Fists  Feet","11","16"
"Property Crimes","149","179"
"Burglary","51","40"
"Means of Entry","",""
"Forcible Entry","33","20"
"No Force","18","20"
"Location / Time","",""
"Residence","37","26"
"Night","5","1"
"Day","7","9"
"Unknown","25","16"
"Non-Residence","14","14"
"Night","4","5"
"Day","3","5"
"Unknown","7","4"
"Motor Vehicle Theft","9","15"
"Automotive","7","10"
"Trucks and Buses","0","3"
"Other","2","2"
"Larceny-Theft","89","124"
"Type","",""
"Pocket-Picking","1","0"
"Purse-Snatching","1","0"
"Shoplifting","3","2"
"From Motor Vehicle","12","18"
"Motor Vehicle Accessories","5","6"
"Bicycles","7","10"
"From Building","30","37"
"Coin Operated Machine","0","0"
"Other","30","51"
"Value","",""
"Over $400","33","37"
"Over $200","0","0"
"$200 through $400","20","24"
"$50 through $199","20","38"
"Under $50","16","25"
"Arson","7","2"
"Structural Property","4","1"
"Mobile Property","2","0"
"Other Property","1","1"
