" ","2011","2017"
"Crimes","",""
"Violent Crimes","6,621","7,308"
"Homicide","79","81"
"Rape (Forcible Rape prior to 2014)","308","550"
"Rape","264","495"
"Attempted Rape","44","55"
"Robbery","2,109","2,226"
"Weapon","",""
"Firearm","578","564"
"Knife or Cutting Instrument","193","230"
"Other Weapon","590","648"
"Strong-Arm","748","784"
"Location","",""
"Highway","678","553"
"Commercial","431","563"
"Gas Station","65","94"
"Convenience Store","152","193"
"Residence","322","283"
"Bank","52","39"
"Miscellaneous","409","501"
"Aggravated Assault","4,125","4,451"
"Weapon","",""
"Firearm","601","835"
"Knife or Cutting Instrument","642","676"
"Other Weapon","1,733","1,627"
"Hands  Fists  Feet","1,149","1,313"
"Property Crimes","63,242","61,826"
"Burglary","18,275","11,647"
"Means of Entry","",""
"Forcible Entry","11,149","8,089"
"No Force","7,126","3,558"
"Location / Time","",""
"Residence","12,308","6,635"
"Night","2,420","1,630"
"Day","4,728","2,252"
"Unknown","5,160","2,753"
"Non-Residence","5,967","5,012"
"Night","2,227","2,331"
"Day","1,918","938"
"Unknown","1,822","1,743"
"Motor Vehicle Theft","8,249","10,291"
"Automotive","5,654","6,602"
"Trucks and Buses","1,740","2,462"
"Other","855","1,227"
"Larceny-Theft","36,718","39,888"
"Type","",""
"Pocket-Picking","93","603"
"Purse-Snatching","105","121"
"Shoplifting","5,290","5,447"
"From Motor Vehicle","14,306","14,638"
"Motor Vehicle Accessories","2,060","1,668"
"Bicycles","1,071","1,153"
"From Building","5,034","5,849"
"Coin Operated Machine","103","60"
"Other","8,656","10,349"
"Value","",""
"Over $400","13,176","13,992"
"Over $200","0","0"
"$200 through $400","5,498","5,427"
"$50 through $199","7,282","7,600"
"Under $50","10,762","12,869"
"Arson","186","229"
"Structural Property","55","76"
"Mobile Property","38","57"
"Other Property","93","96"
