" ","2011","2017"
"Crimes","",""
"Violent Crimes","1,802","2,112"
"Homicide","30","30"
"Rape (Forcible Rape prior to 2014)","113","179"
"Rape","111","171"
"Attempted Rape","2","8"
"Robbery","694","701"
"Weapon","",""
"Firearm","294","254"
"Knife or Cutting Instrument","24","30"
"Other Weapon","29","51"
"Strong-Arm","347","366"
"Location","",""
"Highway","203","195"
"Commercial","150","141"
"Gas Station","28","42"
"Convenience Store","48","53"
"Residence","86","85"
"Bank","19","19"
"Miscellaneous","160","166"
"Aggravated Assault","965","1,202"
"Weapon","",""
"Firearm","210","192"
"Knife or Cutting Instrument","128","127"
"Other Weapon","278","345"
"Hands  Fists  Feet","349","538"
"Property Crimes","12,087","12,004"
"Burglary","3,960","3,660"
"Means of Entry","",""
"Forcible Entry","2,713","2,334"
"No Force","1,247","1,326"
"Location / Time","",""
"Residence","2,494","1,455"
"Night","584","403"
"Day","1,627","793"
"Unknown","283","259"
"Non-Residence","1,466","2,205"
"Night","702","1,073"
"Day","632","894"
"Unknown","132","238"
"Motor Vehicle Theft","1,829","2,007"
"Automotive","1,330","1,399"
"Trucks and Buses","333","438"
"Other","166","170"
"Larceny-Theft","6,298","6,337"
"Type","",""
"Pocket-Picking","18","28"
"Purse-Snatching","16","52"
"Shoplifting","1,068","1,157"
"From Motor Vehicle","1,472","2,249"
"Motor Vehicle Accessories","616","496"
"Bicycles","192","156"
"From Building","739","848"
"Coin Operated Machine","11","11"
"Other","2,166","1,340"
"Value","",""
"Over $400","2,234","2,380"
"Over $200","0","0"
"$200 through $400","935","796"
"$50 through $199","1,189","1,073"
"Under $50","1,940","2,088"
"Arson","107","140"
"Structural Property","30","99"
"Mobile Property","44","11"
"Other Property","33","30"
