" ","2011","2017"
"Crimes","",""
"Violent Crimes","106","206"
"Homicide","1","2"
"Rape (Forcible Rape prior to 2014)","17","48"
"Rape","15","44"
"Attempted Rape","2","4"
"Robbery","21","20"
"Weapon","",""
"Firearm","3","3"
"Knife or Cutting Instrument","3","0"
"Other Weapon","3","3"
"Strong-Arm","12","14"
"Location","",""
"Highway","3","4"
"Commercial","3","6"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","8","6"
"Bank","0","1"
"Miscellaneous","7","3"
"Aggravated Assault","67","136"
"Weapon","",""
"Firearm","3","3"
"Knife or Cutting Instrument","9","8"
"Other Weapon","43","65"
"Hands  Fists  Feet","12","60"
"Property Crimes","1,258","1,124"
"Burglary","423","379"
"Means of Entry","",""
"Forcible Entry","185","195"
"No Force","238","184"
"Location / Time","",""
"Residence","262","232"
"Night","42","25"
"Day","140","134"
"Unknown","80","73"
"Non-Residence","161","147"
"Night","66","47"
"Day","57","73"
"Unknown","38","27"
"Motor Vehicle Theft","106","122"
"Automotive","95","79"
"Trucks and Buses","5","27"
"Other","6","16"
"Larceny-Theft","729","623"
"Type","",""
"Pocket-Picking","6","1"
"Purse-Snatching","3","0"
"Shoplifting","43","68"
"From Motor Vehicle","176","87"
"Motor Vehicle Accessories","24","83"
"Bicycles","11","14"
"From Building","224","183"
"Coin Operated Machine","2","2"
"Other","240","185"
"Value","",""
"Over $400","230","223"
"Over $200","0","0"
"$200 through $400","124","90"
"$50 through $199","141","91"
"Under $50","234","219"
"Arson","20","13"
"Structural Property","10","10"
"Mobile Property","6","0"
"Other Property","4","3"
