" ","2011","2017"
"Crimes","",""
"Violent Crimes","34","77"
"Homicide","3","1"
"Rape (Forcible Rape prior to 2014)","5","5"
"Rape","5","5"
"Attempted Rape","0","0"
"Robbery","1","8"
"Weapon","",""
"Firearm","0","7"
"Knife or Cutting Instrument","0","0"
"Other Weapon","1","0"
"Strong-Arm","0","1"
"Location","",""
"Highway","0","0"
"Commercial","0","0"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","0","0"
"Bank","0","2"
"Miscellaneous","1","6"
"Aggravated Assault","25","63"
"Weapon","",""
"Firearm","3","16"
"Knife or Cutting Instrument","3","10"
"Other Weapon","3","23"
"Hands  Fists  Feet","16","14"
"Property Crimes","138","254"
"Burglary","65","84"
"Means of Entry","",""
"Forcible Entry","45","67"
"No Force","20","17"
"Location / Time","",""
"Residence","37","55"
"Night","6","5"
"Day","4","10"
"Unknown","27","40"
"Non-Residence","28","29"
"Night","2","6"
"Day","1","1"
"Unknown","25","22"
"Motor Vehicle Theft","34","64"
"Automotive","29","63"
"Trucks and Buses","3","0"
"Other","2","1"
"Larceny-Theft","39","106"
"Type","",""
"Pocket-Picking","22","6"
"Purse-Snatching","0","1"
"Shoplifting","1","13"
"From Motor Vehicle","3","16"
"Motor Vehicle Accessories","1","14"
"Bicycles","2","1"
"From Building","3","17"
"Coin Operated Machine","0","2"
"Other","7","36"
"Value","",""
"Over $400","17","47"
"Over $200","0","0"
"$200 through $400","8","15"
"$50 through $199","11","10"
"Under $50","3","34"
"Arson","0","1"
"Structural Property","0","1"
"Mobile Property","0","0"
"Other Property","0","0"
