" ","2011","2017"
"Crimes","",""
"Violent Crimes","1,705","2,239"
"Homicide","15","26"
"Rape (Forcible Rape prior to 2014)","101","270"
"Rape","92","268"
"Attempted Rape","9","2"
"Robbery","616","730"
"Weapon","",""
"Firearm","160","175"
"Knife or Cutting Instrument","104","148"
"Other Weapon","60","94"
"Strong-Arm","292","313"
"Location","",""
"Highway","369","224"
"Commercial","102","146"
"Gas Station","7","20"
"Convenience Store","12","53"
"Residence","36","43"
"Bank","15","8"
"Miscellaneous","75","236"
"Aggravated Assault","973","1,213"
"Weapon","",""
"Firearm","136","174"
"Knife or Cutting Instrument","245","301"
"Other Weapon","326","335"
"Hands  Fists  Feet","266","403"
"Property Crimes","14,169","15,985"
"Burglary","2,654","2,612"
"Means of Entry","",""
"Forcible Entry","1,414","1,683"
"No Force","1,240","929"
"Location / Time","",""
"Residence","1,670","1,330"
"Night","335","358"
"Day","835","549"
"Unknown","500","423"
"Non-Residence","984","1,282"
"Night","389","589"
"Day","259","209"
"Unknown","336","484"
"Motor Vehicle Theft","1,014","1,609"
"Automotive","663","1,144"
"Trucks and Buses","236","328"
"Other","115","137"
"Larceny-Theft","10,501","11,764"
"Type","",""
"Pocket-Picking","36","38"
"Purse-Snatching","6","10"
"Shoplifting","2,329","3,029"
"From Motor Vehicle","3,938","4,114"
"Motor Vehicle Accessories","770","884"
"Bicycles","596","634"
"From Building","1,177","1,092"
"Coin Operated Machine","41","54"
"Other","1,608","1,909"
"Value","",""
"Over $400","3,523","4,030"
"Over $200","0","0"
"$200 through $400","1,765","1,861"
"$50 through $199","2,404","2,545"
"Under $50","2,809","3,328"
"Arson","111","110"
"Structural Property","41","34"
"Mobile Property","23","26"
"Other Property","47","50"
