" ","2011","2017"
"Crimes","",""
"Violent Crimes","155","176"
"Homicide","2","6"
"Rape (Forcible Rape prior to 2014)","12","15"
"Rape","10","13"
"Attempted Rape","2","2"
"Robbery","13","8"
"Weapon","",""
"Firearm","4","1"
"Knife or Cutting Instrument","1","0"
"Other Weapon","0","1"
"Strong-Arm","8","6"
"Location","",""
"Highway","1","1"
"Commercial","2","0"
"Gas Station","0","1"
"Convenience Store","0","0"
"Residence","4","1"
"Bank","2","1"
"Miscellaneous","4","4"
"Aggravated Assault","128","147"
"Weapon","",""
"Firearm","11","4"
"Knife or Cutting Instrument","27","22"
"Other Weapon","39","48"
"Hands  Fists  Feet","51","73"
"Property Crimes","863","800"
"Burglary","254","290"
"Means of Entry","",""
"Forcible Entry","147","190"
"No Force","107","100"
"Location / Time","",""
"Residence","154","145"
"Night","33","29"
"Day","38","22"
"Unknown","83","94"
"Non-Residence","100","145"
"Night","46","47"
"Day","13","28"
"Unknown","41","70"
"Motor Vehicle Theft","64","129"
"Automotive","43","95"
"Trucks and Buses","8","10"
"Other","13","24"
"Larceny-Theft","545","381"
"Type","",""
"Pocket-Picking","0","2"
"Purse-Snatching","1","2"
"Shoplifting","99","103"
"From Motor Vehicle","107","68"
"Motor Vehicle Accessories","27","22"
"Bicycles","24","19"
"From Building","122","58"
"Coin Operated Machine","8","2"
"Other","157","105"
"Value","",""
"Over $400","158","112"
"Over $200","0","0"
"$200 through $400","93","59"
"$50 through $199","136","89"
"Under $50","158","121"
"Arson","5","4"
"Structural Property","4","1"
"Mobile Property","1","1"
"Other Property","0","2"
