" ","2011","2017"
"Crimes","",""
"Violent Crimes","6,509","7,627"
"Homicide","74","62"
"Rape (Forcible Rape prior to 2014)","410","830"
"Rape","383","782"
"Attempted Rape","27","48"
"Robbery","2,245","2,495"
"Weapon","",""
"Firearm","514","608"
"Knife or Cutting Instrument","320","312"
"Other Weapon","206","347"
"Strong-Arm","1,205","1,228"
"Location","",""
"Highway","1,149","706"
"Commercial","439","601"
"Gas Station","52","86"
"Convenience Store","82","176"
"Residence","190","163"
"Bank","75","31"
"Miscellaneous","258","732"
"Aggravated Assault","3,780","4,240"
"Weapon","",""
"Firearm","472","642"
"Knife or Cutting Instrument","785","840"
"Other Weapon","1,442","1,643"
"Hands  Fists  Feet","1,081","1,115"
"Property Crimes","61,658","65,638"
"Burglary","10,720","10,196"
"Means of Entry","",""
"Forcible Entry","6,471","7,008"
"No Force","4,249","3,188"
"Location / Time","",""
"Residence","6,657","4,953"
"Night","1,302","1,133"
"Day","3,119","1,929"
"Unknown","2,236","1,891"
"Non-Residence","4,063","5,243"
"Night","1,351","2,189"
"Day","929","988"
"Unknown","1,783","2,066"
"Motor Vehicle Theft","5,841","8,835"
"Automotive","4,307","6,699"
"Trucks and Buses","1,186","1,580"
"Other","348","556"
"Larceny-Theft","45,097","46,607"
"Type","",""
"Pocket-Picking","436","594"
"Purse-Snatching","142","117"
"Shoplifting","7,949","7,948"
"From Motor Vehicle","17,662","19,624"
"Motor Vehicle Accessories","3,196","2,786"
"Bicycles","3,121","2,645"
"From Building","4,199","3,491"
"Coin Operated Machine","204","170"
"Other","8,188","9,232"
"Value","",""
"Over $400","16,871","18,389"
"Over $200","0","0"
"$200 through $400","8,106","7,052"
"$50 through $199","9,370","8,430"
"Under $50","10,750","12,736"
"Arson","330","328"
"Structural Property","82","94"
"Mobile Property","65","52"
"Other Property","183","182"
