" ","2011","2017"
"Crimes","",""
"Violent Crimes","104","146"
"Homicide","1","0"
"Rape (Forcible Rape prior to 2014)","14","23"
"Rape","14","23"
"Attempted Rape","0","0"
"Robbery","3","7"
"Weapon","",""
"Firearm","0","4"
"Knife or Cutting Instrument","0","0"
"Other Weapon","1","1"
"Strong-Arm","2","2"
"Location","",""
"Highway","1","2"
"Commercial","0","4"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","2","0"
"Bank","0","0"
"Miscellaneous","0","1"
"Aggravated Assault","86","116"
"Weapon","",""
"Firearm","7","2"
"Knife or Cutting Instrument","2","10"
"Other Weapon","39","47"
"Hands  Fists  Feet","38","57"
"Property Crimes","386","304"
"Burglary","124","140"
"Means of Entry","",""
"Forcible Entry","44","68"
"No Force","80","72"
"Location / Time","",""
"Residence","50","67"
"Night","12","11"
"Day","38","56"
"Unknown","0","0"
"Non-Residence","74","73"
"Night","18","19"
"Day","56","54"
"Unknown","0","0"
"Motor Vehicle Theft","19","6"
"Automotive","13","4"
"Trucks and Buses","0","0"
"Other","6","2"
"Larceny-Theft","243","158"
"Type","",""
"Pocket-Picking","4","7"
"Purse-Snatching","0","0"
"Shoplifting","13","9"
"From Motor Vehicle","60","26"
"Motor Vehicle Accessories","12","9"
"Bicycles","4","14"
"From Building","30","22"
"Coin Operated Machine","0","0"
"Other","120","71"
"Value","",""
"Over $400","68","66"
"Over $200","0","0"
"$200 through $400","49","26"
"$50 through $199","62","31"
"Under $50","64","35"
"Arson","7","6"
"Structural Property","2","1"
"Mobile Property","0","1"
"Other Property","5","4"
