" ","2011","2017"
"Crimes","",""
"Violent Crimes","55","108"
"Homicide","0","0"
"Rape (Forcible Rape prior to 2014)","5","9"
"Rape","3","9"
"Attempted Rape","2","0"
"Robbery","1","3"
"Weapon","",""
"Firearm","0","1"
"Knife or Cutting Instrument","0","0"
"Other Weapon","0","0"
"Strong-Arm","1","2"
"Location","",""
"Highway","0","1"
"Commercial","0","0"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","1","1"
"Bank","0","0"
"Miscellaneous","0","1"
"Aggravated Assault","49","96"
"Weapon","",""
"Firearm","1","2"
"Knife or Cutting Instrument","2","6"
"Other Weapon","14","9"
"Hands  Fists  Feet","32","79"
"Property Crimes","365","290"
"Burglary","128","83"
"Means of Entry","",""
"Forcible Entry","76","42"
"No Force","52","41"
"Location / Time","",""
"Residence","86","57"
"Night","7","6"
"Day","22","10"
"Unknown","57","41"
"Non-Residence","42","26"
"Night","10","10"
"Day","9","1"
"Unknown","23","15"
"Motor Vehicle Theft","20","14"
"Automotive","3","11"
"Trucks and Buses","2","1"
"Other","15","2"
"Larceny-Theft","217","193"
"Type","",""
"Pocket-Picking","0","0"
"Purse-Snatching","2","1"
"Shoplifting","19","19"
"From Motor Vehicle","22","16"
"Motor Vehicle Accessories","8","13"
"Bicycles","3","2"
"From Building","27","32"
"Coin Operated Machine","1","0"
"Other","135","110"
"Value","",""
"Over $400","80","85"
"Over $200","0","0"
"$200 through $400","37","35"
"$50 through $199","44","35"
"Under $50","56","38"
"Arson","1","0"
"Structural Property","1","0"
"Mobile Property","0","0"
"Other Property","0","0"
