" ","2011","2017"
"Crimes","",""
"Violent Crimes","5,694","5,991"
"Homicide","87","68"
"Rape (Forcible Rape prior to 2014)","140","247"
"Rape","116","230"
"Attempted Rape","24","17"
"Robbery","1,723","1,671"
"Weapon","",""
"Firearm","684","548"
"Knife or Cutting Instrument","123","114"
"Other Weapon","169","249"
"Strong-Arm","747","760"
"Location","",""
"Highway","726","181"
"Commercial","202","293"
"Gas Station","39","41"
"Convenience Store","138","173"
"Residence","221","235"
"Bank","45","25"
"Miscellaneous","352","723"
"Aggravated Assault","3,744","4,005"
"Weapon","",""
"Firearm","1,385","1,039"
"Knife or Cutting Instrument","343","333"
"Other Weapon","1,180","1,536"
"Hands  Fists  Feet","836","1,097"
"Property Crimes","29,142","21,751"
"Burglary","7,931","3,925"
"Means of Entry","",""
"Forcible Entry","5,321","2,620"
"No Force","2,610","1,305"
"Location / Time","",""
"Residence","5,685","2,286"
"Night","872","518"
"Day","2,658","971"
"Unknown","2,155","797"
"Non-Residence","2,246","1,639"
"Night","763","720"
"Day","550","435"
"Unknown","933","484"
"Motor Vehicle Theft","3,018","3,861"
"Automotive","2,179","2,589"
"Trucks and Buses","677","1,027"
"Other","162","245"
"Larceny-Theft","18,193","13,965"
"Type","",""
"Pocket-Picking","35","17"
"Purse-Snatching","49","21"
"Shoplifting","3,269","2,434"
"From Motor Vehicle","6,738","5,966"
"Motor Vehicle Accessories","2,034","1,269"
"Bicycles","564","358"
"From Building","1,069","950"
"Coin Operated Machine","20","41"
"Other","4,415","2,909"
"Value","",""
"Over $400","6,908","5,038"
"Over $200","0","0"
"$200 through $400","2,534","1,902"
"$50 through $199","3,591","2,591"
"Under $50","5,160","4,434"
"Arson","159","270"
"Structural Property","87","133"
"Mobile Property","29","44"
"Other Property","43","93"
