" ","2011","2017"
"Crimes","",""
"Violent Crimes","5","5"
"Homicide","0","0"
"Rape (Forcible Rape prior to 2014)","0","0"
"Rape","0","0"
"Attempted Rape","0","0"
"Robbery","0","1"
"Weapon","",""
"Firearm","0","1"
"Knife or Cutting Instrument","0","0"
"Other Weapon","0","0"
"Strong-Arm","0","0"
"Location","",""
"Highway","0","0"
"Commercial","0","0"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","0","1"
"Bank","0","0"
"Miscellaneous","0","0"
"Aggravated Assault","5","4"
"Weapon","",""
"Firearm","0","1"
"Knife or Cutting Instrument","0","0"
"Other Weapon","1","3"
"Hands  Fists  Feet","4","0"
"Property Crimes","56","28"
"Burglary","17","12"
"Means of Entry","",""
"Forcible Entry","4","3"
"No Force","13","9"
"Location / Time","",""
"Residence","13","10"
"Night","2","1"
"Day","1","6"
"Unknown","10","3"
"Non-Residence","4","2"
"Night","1","1"
"Day","0","0"
"Unknown","3","1"
"Motor Vehicle Theft","1","4"
"Automotive","1","2"
"Trucks and Buses","0","0"
"Other","0","2"
"Larceny-Theft","38","12"
"Type","",""
"Pocket-Picking","0","0"
"Purse-Snatching","1","0"
"Shoplifting","0","2"
"From Motor Vehicle","12","2"
"Motor Vehicle Accessories","0","1"
"Bicycles","0","3"
"From Building","5","3"
"Coin Operated Machine","0","0"
"Other","20","1"
"Value","",""
"Over $400","24","4"
"Over $200","0","0"
"$200 through $400","3","2"
"$50 through $199","6","2"
"Under $50","5","4"
"Arson","2","0"
"Structural Property","1","0"
"Mobile Property","1","0"
"Other Property","0","0"
