" ","2011","2017"
"Crimes","",""
"Violent Crimes","3,928","3,830"
"Homicide","62","42"
"Rape (Forcible Rape prior to 2014)","161","294"
"Rape","148","274"
"Attempted Rape","13","20"
"Robbery","1,362","1,500"
"Weapon","",""
"Firearm","567","537"
"Knife or Cutting Instrument","71","89"
"Other Weapon","62","127"
"Strong-Arm","662","747"
"Location","",""
"Highway","509","347"
"Commercial","158","267"
"Gas Station","37","44"
"Convenience Store","107","111"
"Residence","144","118"
"Bank","32","31"
"Miscellaneous","375","582"
"Aggravated Assault","2,343","1,994"
"Weapon","",""
"Firearm","416","409"
"Knife or Cutting Instrument","237","236"
"Other Weapon","637","760"
"Hands  Fists  Feet","1,053","589"
"Property Crimes","30,239","29,735"
"Burglary","8,024","4,171"
"Means of Entry","",""
"Forcible Entry","5,483","2,928"
"No Force","2,541","1,243"
"Location / Time","",""
"Residence","5,890","2,284"
"Night","1,227","659"
"Day","3,285","1,065"
"Unknown","1,378","560"
"Non-Residence","2,134","1,887"
"Night","762","910"
"Day","699","510"
"Unknown","673","467"
"Motor Vehicle Theft","5,855","5,836"
"Automotive","5,074","4,829"
"Trucks and Buses","578","745"
"Other","203","262"
"Larceny-Theft","16,360","19,728"
"Type","",""
"Pocket-Picking","64","126"
"Purse-Snatching","97","105"
"Shoplifting","2,068","3,593"
"From Motor Vehicle","6,756","8,759"
"Motor Vehicle Accessories","1,324","1,194"
"Bicycles","814","598"
"From Building","2,009","1,553"
"Coin Operated Machine","26","26"
"Other","3,202","3,774"
"Value","",""
"Over $400","6,254","8,111"
"Over $200","0","0"
"$200 through $400","2,634","2,636"
"$50 through $199","3,365","3,759"
"Under $50","4,107","5,222"
"Arson","182","232"
"Structural Property","62","76"
"Mobile Property","52","96"
"Other Property","68","60"
