" ","2011","2017"
"Crimes","",""
"Violent Crimes","45","78"
"Homicide","1","1"
"Rape (Forcible Rape prior to 2014)","2","13"
"Rape","1","12"
"Attempted Rape","1","1"
"Robbery","4","9"
"Weapon","",""
"Firearm","0","1"
"Knife or Cutting Instrument","0","1"
"Other Weapon","0","0"
"Strong-Arm","4","7"
"Location","",""
"Highway","0","3"
"Commercial","2","0"
"Gas Station","0","2"
"Convenience Store","0","0"
"Residence","0","3"
"Bank","1","0"
"Miscellaneous","1","1"
"Aggravated Assault","38","55"
"Weapon","",""
"Firearm","1","2"
"Knife or Cutting Instrument","13","2"
"Other Weapon","13","5"
"Hands  Fists  Feet","11","46"
"Property Crimes","495","339"
"Burglary","155","121"
"Means of Entry","",""
"Forcible Entry","111","83"
"No Force","44","38"
"Location / Time","",""
"Residence","112","53"
"Night","36","17"
"Day","66","27"
"Unknown","10","9"
"Non-Residence","43","68"
"Night","20","28"
"Day","20","30"
"Unknown","3","10"
"Motor Vehicle Theft","38","39"
"Automotive","24","20"
"Trucks and Buses","4","4"
"Other","10","15"
"Larceny-Theft","302","179"
"Type","",""
"Pocket-Picking","0","0"
"Purse-Snatching","2","2"
"Shoplifting","6","4"
"From Motor Vehicle","68","71"
"Motor Vehicle Accessories","20","8"
"Bicycles","16","2"
"From Building","32","12"
"Coin Operated Machine","0","1"
"Other","158","79"
"Value","",""
"Over $400","134","88"
"Over $200","0","0"
"$200 through $400","54","25"
"$50 through $199","48","28"
"Under $50","66","38"
"Arson","4","4"
"Structural Property","0","2"
"Mobile Property","3","0"
"Other Property","1","2"
