" ","2011","2017"
"Crimes","",""
"Violent Crimes","98","115"
"Homicide","2","0"
"Rape (Forcible Rape prior to 2014)","8","9"
"Rape","7","9"
"Attempted Rape","1","0"
"Robbery","7","7"
"Weapon","",""
"Firearm","1","1"
"Knife or Cutting Instrument","1","0"
"Other Weapon","0","0"
"Strong-Arm","5","6"
"Location","",""
"Highway","2","1"
"Commercial","0","1"
"Gas Station","1","0"
"Convenience Store","0","0"
"Residence","1","3"
"Bank","0","0"
"Miscellaneous","3","2"
"Aggravated Assault","81","99"
"Weapon","",""
"Firearm","3","1"
"Knife or Cutting Instrument","6","9"
"Other Weapon","21","15"
"Hands  Fists  Feet","51","74"
"Property Crimes","972","649"
"Burglary","278","147"
"Means of Entry","",""
"Forcible Entry","98","71"
"No Force","180","76"
"Location / Time","",""
"Residence","143","65"
"Night","27","14"
"Day","52","22"
"Unknown","64","29"
"Non-Residence","135","82"
"Night","48","23"
"Day","55","42"
"Unknown","32","17"
"Motor Vehicle Theft","52","66"
"Automotive","31","41"
"Trucks and Buses","5","10"
"Other","16","15"
"Larceny-Theft","642","436"
"Type","",""
"Pocket-Picking","0","0"
"Purse-Snatching","4","3"
"Shoplifting","13","31"
"From Motor Vehicle","81","78"
"Motor Vehicle Accessories","13","23"
"Bicycles","8","4"
"From Building","121","99"
"Coin Operated Machine","7","2"
"Other","395","196"
"Value","",""
"Over $400","195","144"
"Over $200","0","0"
"$200 through $400","104","69"
"$50 through $199","141","77"
"Under $50","202","146"
"Arson","8","5"
"Structural Property","5","2"
"Mobile Property","1","0"
"Other Property","2","3"
