" ","2011","2017"
"Crimes","",""
"Violent Crimes","4,447","4,989"
"Homicide","46","89"
"Rape (Forcible Rape prior to 2014)","184","307"
"Rape","177","287"
"Attempted Rape","7","20"
"Robbery","1,029","1,297"
"Weapon","",""
"Firearm","251","358"
"Knife or Cutting Instrument","115","147"
"Other Weapon","127","137"
"Strong-Arm","536","655"
"Location","",""
"Highway","450","386"
"Commercial","170","238"
"Gas Station","12","43"
"Convenience Store","55","117"
"Residence","167","143"
"Bank","9","10"
"Miscellaneous","166","360"
"Aggravated Assault","3,188","3,296"
"Weapon","",""
"Firearm","328","523"
"Knife or Cutting Instrument","522","489"
"Other Weapon","1,306","1,051"
"Hands  Fists  Feet","1,032","1,233"
"Property Crimes","30,071","28,933"
"Burglary","9,460","7,429"
"Means of Entry","",""
"Forcible Entry","5,313","5,085"
"No Force","4,147","2,344"
"Location / Time","",""
"Residence","6,081","3,459"
"Night","1,260","844"
"Day","3,588","1,392"
"Unknown","1,233","1,223"
"Non-Residence","3,379","3,970"
"Night","1,262","1,682"
"Day","1,147","794"
"Unknown","970","1,494"
"Motor Vehicle Theft","4,886","5,899"
"Automotive","3,397","4,278"
"Trucks and Buses","1,051","1,204"
"Other","438","417"
"Larceny-Theft","15,725","15,605"
"Type","",""
"Pocket-Picking","77","101"
"Purse-Snatching","93","54"
"Shoplifting","1,929","2,331"
"From Motor Vehicle","5,630","6,089"
"Motor Vehicle Accessories","1,457","1,523"
"Bicycles","409","392"
"From Building","1,787","833"
"Coin Operated Machine","31","97"
"Other","4,312","4,185"
"Value","",""
"Over $400","5,925","5,829"
"Over $200","0","0"
"$200 through $400","2,608","2,159"
"$50 through $199","2,933","2,845"
"Under $50","4,259","4,772"
"Arson","513","692"
"Structural Property","155","316"
"Mobile Property","189","224"
"Other Property","169","152"
