" ","2011","2017"
"Crimes","",""
"Violent Crimes","49","43"
"Homicide","0","0"
"Rape (Forcible Rape prior to 2014)","6","6"
"Rape","6","6"
"Attempted Rape","0","0"
"Robbery","4","5"
"Weapon","",""
"Firearm","0","0"
"Knife or Cutting Instrument","0","0"
"Other Weapon","0","1"
"Strong-Arm","4","4"
"Location","",""
"Highway","2","1"
"Commercial","1","2"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","0","2"
"Bank","0","0"
"Miscellaneous","1","0"
"Aggravated Assault","39","32"
"Weapon","",""
"Firearm","1","0"
"Knife or Cutting Instrument","2","3"
"Other Weapon","8","9"
"Hands  Fists  Feet","28","20"
"Property Crimes","311","211"
"Burglary","87","36"
"Means of Entry","",""
"Forcible Entry","23","13"
"No Force","64","23"
"Location / Time","",""
"Residence","33","11"
"Night","4","4"
"Day","12","1"
"Unknown","17","6"
"Non-Residence","54","25"
"Night","13","7"
"Day","27","12"
"Unknown","14","6"
"Motor Vehicle Theft","22","21"
"Automotive","8","10"
"Trucks and Buses","8","5"
"Other","6","6"
"Larceny-Theft","202","154"
"Type","",""
"Pocket-Picking","1","1"
"Purse-Snatching","4","4"
"Shoplifting","6","8"
"From Motor Vehicle","31","25"
"Motor Vehicle Accessories","1","3"
"Bicycles","27","12"
"From Building","42","41"
"Coin Operated Machine","2","2"
"Other","88","58"
"Value","",""
"Over $400","99","75"
"Over $200","0","0"
"$200 through $400","31","30"
"$50 through $199","37","30"
"Under $50","35","19"
"Arson","1","0"
"Structural Property","0","0"
"Mobile Property","0","0"
"Other Property","1","0"
