" ","2011","2017"
"Crimes","",""
"Violent Crimes","1,576","1,928"
"Homicide","16","7"
"Rape (Forcible Rape prior to 2014)","135","325"
"Rape","125","318"
"Attempted Rape","10","7"
"Robbery","492","567"
"Weapon","",""
"Firearm","156","104"
"Knife or Cutting Instrument","41","64"
"Other Weapon","35","43"
"Strong-Arm","260","356"
"Location","",""
"Highway","220","167"
"Commercial","75","156"
"Gas Station","23","15"
"Convenience Store","20","21"
"Residence","52","45"
"Bank","14","10"
"Miscellaneous","88","153"
"Aggravated Assault","933","1,029"
"Weapon","",""
"Firearm","175","66"
"Knife or Cutting Instrument","112","136"
"Other Weapon","373","353"
"Hands  Fists  Feet","273","474"
"Property Crimes","14,015","15,142"
"Burglary","3,196","2,481"
"Means of Entry","",""
"Forcible Entry","1,564","1,302"
"No Force","1,632","1,179"
"Location / Time","",""
"Residence","1,805","984"
"Night","343","306"
"Day","1,134","578"
"Unknown","328","100"
"Non-Residence","1,391","1,497"
"Night","480","686"
"Day","620","681"
"Unknown","291","130"
"Motor Vehicle Theft","1,488","1,606"
"Automotive","1,242","1,230"
"Trucks and Buses","154","230"
"Other","92","146"
"Larceny-Theft","9,331","11,055"
"Type","",""
"Pocket-Picking","38","94"
"Purse-Snatching","49","55"
"Shoplifting","1,259","1,546"
"From Motor Vehicle","3,309","4,968"
"Motor Vehicle Accessories","464","441"
"Bicycles","536","618"
"From Building","1,406","1,093"
"Coin Operated Machine","35","23"
"Other","2,235","2,217"
"Value","",""
"Over $400","3,568","4,916"
"Over $200","0","0"
"$200 through $400","1,521","1,691"
"$50 through $199","1,783","2,027"
"Under $50","2,459","2,421"
"Arson","88","92"
"Structural Property","49","58"
"Mobile Property","19","3"
"Other Property","20","31"
