" ","2011","2017"
"Crimes","",""
"Violent Crimes","268","280"
"Homicide","2","5"
"Rape (Forcible Rape prior to 2014)","19","17"
"Rape","16","17"
"Attempted Rape","3","0"
"Robbery","22","23"
"Weapon","",""
"Firearm","8","6"
"Knife or Cutting Instrument","2","4"
"Other Weapon","1","2"
"Strong-Arm","11","11"
"Location","",""
"Highway","0","2"
"Commercial","2","1"
"Gas Station","2","1"
"Convenience Store","2","2"
"Residence","3","6"
"Bank","0","1"
"Miscellaneous","13","10"
"Aggravated Assault","225","235"
"Weapon","",""
"Firearm","8","4"
"Knife or Cutting Instrument","23","17"
"Other Weapon","48","80"
"Hands  Fists  Feet","146","134"
"Property Crimes","1,438","1,765"
"Burglary","444","482"
"Means of Entry","",""
"Forcible Entry","211","288"
"No Force","233","194"
"Location / Time","",""
"Residence","277","227"
"Night","55","48"
"Day","71","63"
"Unknown","151","116"
"Non-Residence","167","255"
"Night","78","128"
"Day","43","53"
"Unknown","46","74"
"Motor Vehicle Theft","122","292"
"Automotive","74","209"
"Trucks and Buses","26","33"
"Other","22","50"
"Larceny-Theft","872","991"
"Type","",""
"Pocket-Picking","5","24"
"Purse-Snatching","9","8"
"Shoplifting","145","187"
"From Motor Vehicle","238","242"
"Motor Vehicle Accessories","31","25"
"Bicycles","18","52"
"From Building","91","134"
"Coin Operated Machine","4","1"
"Other","331","318"
"Value","",""
"Over $400","323","327"
"Over $200","0","0"
"$200 through $400","144","153"
"$50 through $199","170","205"
"Under $50","235","306"
"Arson","7","10"
"Structural Property","1","5"
"Mobile Property","2","1"
"Other Property","4","4"
