" ","2011","2017"
"Crimes","",""
"Violent Crimes","1,169","1,056"
"Homicide","10","3"
"Rape (Forcible Rape prior to 2014)","75","156"
"Rape","50","134"
"Attempted Rape","25","22"
"Robbery","252","232"
"Weapon","",""
"Firearm","67","53"
"Knife or Cutting Instrument","38","39"
"Other Weapon","20","28"
"Strong-Arm","127","112"
"Location","",""
"Highway","54","28"
"Commercial","7","6"
"Gas Station","7","11"
"Convenience Store","31","23"
"Residence","20","21"
"Bank","10","4"
"Miscellaneous","123","139"
"Aggravated Assault","832","665"
"Weapon","",""
"Firearm","55","80"
"Knife or Cutting Instrument","139","128"
"Other Weapon","234","231"
"Hands  Fists  Feet","404","226"
"Property Crimes","8,744","8,947"
"Burglary","1,958","1,235"
"Means of Entry","",""
"Forcible Entry","944","734"
"No Force","1,014","501"
"Location / Time","",""
"Residence","1,128","584"
"Night","275","251"
"Day","529","187"
"Unknown","324","146"
"Non-Residence","830","651"
"Night","420","375"
"Day","218","117"
"Unknown","192","159"
"Motor Vehicle Theft","822","1,267"
"Automotive","634","964"
"Trucks and Buses","99","187"
"Other","89","116"
"Larceny-Theft","5,964","6,445"
"Type","",""
"Pocket-Picking","23","20"
"Purse-Snatching","38","34"
"Shoplifting","1,258","902"
"From Motor Vehicle","2,135","2,858"
"Motor Vehicle Accessories","366","445"
"Bicycles","669","607"
"From Building","444","427"
"Coin Operated Machine","15","28"
"Other","1,016","1,124"
"Value","",""
"Over $400","1,985","2,666"
"Over $200","0","0"
"$200 through $400","1,044","1,021"
"$50 through $199","1,138","1,125"
"Under $50","1,797","1,633"
"Arson","39","69"
"Structural Property","19","37"
"Mobile Property","13","7"
"Other Property","7","25"
