" ","2011","2017"
"Crimes","",""
"Violent Crimes","120","208"
"Homicide","1","2"
"Rape (Forcible Rape prior to 2014)","17","30"
"Rape","17","28"
"Attempted Rape","0","2"
"Robbery","8","17"
"Weapon","",""
"Firearm","1","6"
"Knife or Cutting Instrument","0","1"
"Other Weapon","0","1"
"Strong-Arm","7","9"
"Location","",""
"Highway","2","6"
"Commercial","1","1"
"Gas Station","1","0"
"Convenience Store","0","0"
"Residence","3","9"
"Bank","0","0"
"Miscellaneous","1","1"
"Aggravated Assault","94","159"
"Weapon","",""
"Firearm","9","20"
"Knife or Cutting Instrument","7","18"
"Other Weapon","32","47"
"Hands  Fists  Feet","46","74"
"Property Crimes","1,156","790"
"Burglary","344","228"
"Means of Entry","",""
"Forcible Entry","174","140"
"No Force","170","88"
"Location / Time","",""
"Residence","234","118"
"Night","42","28"
"Day","79","39"
"Unknown","113","51"
"Non-Residence","110","110"
"Night","41","41"
"Day","35","39"
"Unknown","34","30"
"Motor Vehicle Theft","106","99"
"Automotive","101","42"
"Trucks and Buses","2","35"
"Other","3","22"
"Larceny-Theft","706","463"
"Type","",""
"Pocket-Picking","3","1"
"Purse-Snatching","6","7"
"Shoplifting","12","35"
"From Motor Vehicle","97","85"
"Motor Vehicle Accessories","40","58"
"Bicycles","7","8"
"From Building","108","57"
"Coin Operated Machine","1","1"
"Other","432","211"
"Value","",""
"Over $400","247","148"
"Over $200","0","0"
"$200 through $400","87","66"
"$50 through $199","79","64"
"Under $50","293","185"
"Arson","0","0"
"Structural Property","0","0"
"Mobile Property","0","0"
"Other Property","0","0"
