" ","2011","2017"
"Crimes","",""
"Violent Crimes","160","151"
"Homicide","2","4"
"Rape (Forcible Rape prior to 2014)","20","29"
"Rape","19","29"
"Attempted Rape","1","0"
"Robbery","17","23"
"Weapon","",""
"Firearm","3","1"
"Knife or Cutting Instrument","2","4"
"Other Weapon","3","1"
"Strong-Arm","9","17"
"Location","",""
"Highway","2","5"
"Commercial","8","2"
"Gas Station","0","0"
"Convenience Store","0","0"
"Residence","0","2"
"Bank","1","0"
"Miscellaneous","6","14"
"Aggravated Assault","121","95"
"Weapon","",""
"Firearm","1","2"
"Knife or Cutting Instrument","10","1"
"Other Weapon","14","17"
"Hands  Fists  Feet","96","75"
"Property Crimes","761","692"
"Burglary","331","221"
"Means of Entry","",""
"Forcible Entry","277","211"
"No Force","54","10"
"Location / Time","",""
"Residence","48","28"
"Night","3","5"
"Day","45","20"
"Unknown","0","3"
"Non-Residence","283","193"
"Night","79","47"
"Day","184","145"
"Unknown","20","1"
"Motor Vehicle Theft","63","96"
"Automotive","35","44"
"Trucks and Buses","19","30"
"Other","9","22"
"Larceny-Theft","367","375"
"Type","",""
"Pocket-Picking","0","0"
"Purse-Snatching","0","3"
"Shoplifting","58","62"
"From Motor Vehicle","24","53"
"Motor Vehicle Accessories","2","15"
"Bicycles","24","15"
"From Building","24","30"
"Coin Operated Machine","4","4"
"Other","231","193"
"Value","",""
"Over $400","129","88"
"Over $200","0","0"
"$200 through $400","56","51"
"$50 through $199","75","63"
"Under $50","107","173"
"Arson","6","19"
"Structural Property","2","5"
"Mobile Property","4","8"
"Other Property","0","6"
