" ","2011","2017"
"Crimes","",""
"Violent Crimes","343","342"
"Homicide","4","1"
"Rape (Forcible Rape prior to 2014)","28","32"
"Rape","28","30"
"Attempted Rape","0","2"
"Robbery","62","87"
"Weapon","",""
"Firearm","16","17"
"Knife or Cutting Instrument","6","6"
"Other Weapon","9","13"
"Strong-Arm","31","51"
"Location","",""
"Highway","7","27"
"Commercial","8","13"
"Gas Station","2","3"
"Convenience Store","0","14"
"Residence","10","13"
"Bank","0","2"
"Miscellaneous","35","15"
"Aggravated Assault","249","222"
"Weapon","",""
"Firearm","23","18"
"Knife or Cutting Instrument","19","22"
"Other Weapon","89","110"
"Hands  Fists  Feet","118","72"
"Property Crimes","2,703","2,847"
"Burglary","558","610"
"Means of Entry","",""
"Forcible Entry","259","345"
"No Force","299","265"
"Location / Time","",""
"Residence","364","336"
"Night","47","51"
"Day","138","101"
"Unknown","179","184"
"Non-Residence","194","274"
"Night","42","73"
"Day","48","59"
"Unknown","104","142"
"Motor Vehicle Theft","271","484"
"Automotive","189","372"
"Trucks and Buses","33","76"
"Other","49","36"
"Larceny-Theft","1,874","1,753"
"Type","",""
"Pocket-Picking","7","6"
"Purse-Snatching","5","2"
"Shoplifting","243","417"
"From Motor Vehicle","703","581"
"Motor Vehicle Accessories","81","86"
"Bicycles","79","96"
"From Building","90","128"
"Coin Operated Machine","6","2"
"Other","660","435"
"Value","",""
"Over $400","670","570"
"Over $200","0","0"
"$200 through $400","379","292"
"$50 through $199","354","428"
"Under $50","471","463"
"Arson","15","17"
"Structural Property","5","7"
"Mobile Property","5","3"
"Other Property","5","7"
